Name,Edition,Quantity
"Altar's Reap","Duel Decks: Nissa vs. Ob Nixilis","1"
"Ambition's Cost","Duel Decks: Nissa vs. Ob Nixilis","1"
"Bala Ged Scorpion","Duel Decks: Nissa vs. Ob Nixilis","1"
"Blistergrub","Duel Decks: Nissa vs. Ob Nixilis","2"
"Cadaver Imp","Duel Decks: Nissa vs. Ob Nixilis","1"
"Carrier Thrall","Duel Decks: Nissa vs. Ob Nixilis","2"
"Demon's Grasp","Duel Decks: Nissa vs. Ob Nixilis","1"
"Desecration Demon","Duel Decks: Nissa vs. Ob Nixilis","1"
"Despoiler of Souls","Duel Decks: Nissa vs. Ob Nixilis","1"
"Devour in Shadow","Fifth Dawn","1"
"Disfigure","Duel Decks: Nissa vs. Ob Nixilis","1"
"Doom Blade","Duel Decks: Nissa vs. Ob Nixilis","2"
"Fetid Imp","Duel Decks: Nissa vs. Ob Nixilis","2"
"Foul Imp","Duel Decks: Nissa vs. Ob Nixilis","1"
"Giant Scorpion","Duel Decks: Nissa vs. Ob Nixilis","1"
"Grim Discovery","Duel Decks: Nissa vs. Ob Nixilis","2"
"Hideous End","Duel Decks: Nissa vs. Ob Nixilis","1"
"Indulgent Tormentor","Duel Decks: Nissa vs. Ob Nixilis","1"
"Innocent Blood","Duel Decks: Nissa vs. Ob Nixilis","1"
"Leechridden Swamp","Duel Decks: Nissa vs. Ob Nixilis","2"
"Mire's Toll","Duel Decks: Nissa vs. Ob Nixilis","1"
"Ob Nixilis Reignited","Duel Decks: Nissa vs. Ob Nixilis","1"
"Pestilence Demon","Duel Decks: Nissa vs. Ob Nixilis","2"
"Priest of the Blood Rite","Duel Decks: Nissa vs. Ob Nixilis","1"
"Quest for the Gravelord","Duel Decks: Nissa vs. Ob Nixilis","2"
"Renegade Demon","Duel Decks: Nissa vs. Ob Nixilis","1"
"Shadows of the Past","Duel Decks: Nissa vs. Ob Nixilis","1"
"Smallpox","Duel Decks: Nissa vs. Ob Nixilis","1"
"Squelching Leeches","Duel Decks: Nissa vs. Ob Nixilis","1"
"Swamp","Duel Decks: Nissa vs. Ob Nixilis","19"
"Tendrils of Corruption","Duel Decks: Nissa vs. Ob Nixilis","1"
"Unhallowed Pact","Duel Decks: Nissa vs. Ob Nixilis","1"
