Name,Edition,Quantity
"Abundance","Duel Decks: Nissa vs. Ob Nixilis","1"
"Briarhorn","Duel Decks: Nissa vs. Ob Nixilis","2"
"Citanul Woodreaders","Duel Decks: Nissa vs. Ob Nixilis","2"
"Civic Wayfinder","Duel Decks: Nissa vs. Ob Nixilis","1"
"Cloudthresher","Duel Decks: Nissa vs. Ob Nixilis","1"
"Controvert","Coldsnap","1"
"Crop Rotation","Duel Decks: Nissa vs. Ob Nixilis","1"
"Elvish Visionary","Duel Decks: Nissa vs. Ob Nixilis","1"
"Fertile Thicket","Duel Decks: Nissa vs. Ob Nixilis","2"
"Fertilid","Duel Decks: Nissa vs. Ob Nixilis","1"
"Forest","Battle for Zendikar","1"
"Forest","Duel Decks: Nissa vs. Ob Nixilis","17"
"Gaea's Blessing","Duel Decks: Nissa vs. Ob Nixilis","1"
"Gilt-Leaf Seer","Duel Decks: Nissa vs. Ob Nixilis","2"
"Jaddi Lifestrider","Duel Decks: Nissa vs. Ob Nixilis","2"
"Jungle Barrier","Explorers of Ixalan","1"
"Khalni Garden","Duel Decks: Nissa vs. Ob Nixilis","1"
"Khalni Garden","Planechase 2012 Edition","1"
"Mosswort Bridge","Duel Decks: Nissa vs. Ob Nixilis","1"
"Natural Connection","Duel Decks: Nissa vs. Ob Nixilis","1"
"Nissa's Chosen","Duel Decks: Nissa vs. Ob Nixilis","1"
"Nissa, Voice of Zendikar","Duel Decks: Nissa vs. Ob Nixilis","1"
"Oakgnarl Warrior","Duel Decks: Nissa vs. Ob Nixilis","1"
"Oran-Rief Hydra","Duel Decks: Nissa vs. Ob Nixilis","1"
"Oran-Rief Invoker","Duel Decks: Nissa vs. Ob Nixilis","1"
"Saddleback Lagac","Oath of the Gatewatch","1"
"Scythe Leopard","Duel Decks: Nissa vs. Ob Nixilis","2"
"Seek the Horizon","Duel Decks: Nissa vs. Ob Nixilis","1"
"Thicket Elemental","Duel Decks: Nissa vs. Ob Nixilis","1"
"Thornweald Archer","Duel Decks: Nissa vs. Ob Nixilis","2"
"Treetop Village","Duel Decks: Nissa vs. Ob Nixilis","1"
"Vines of the Recluse","Duel Decks: Nissa vs. Ob Nixilis","2"
"Walker of the Grove","Duel Decks: Nissa vs. Ob Nixilis","1"
"Wood Elves","Duel Decks: Nissa vs. Ob Nixilis","1"
"Woodborn Behemoth","Duel Decks: Nissa vs. Ob Nixilis","2"
