Name,Edition,Quantity
"Agility","Mirage","1"
"Aliban's Tower","Homelands","1"
"Armorer Guildmage","Mirage","1"
"Battle Frenzy","Ice Age","1"
"Crazed Goblin","Darksteel","1"
"Disintegrate","Introductory Two-Player Set","2"
"Eternal Warrior","Fourth Edition","1"
"Fireball","Fourth Edition","2"
"Fissure","The Dark","1"
"Fists of the Anvil","Tenth Edition","1"
"Forest","Fifth Edition","6"
"Giant Strength","Legends","1"
"Goblin Brawler","Fifth Dawn","2"
"Goblin Cavaliers","Portal Second Age","1"
"Goblin King","Revised Edition","1"
"Goblin Raider","Portal Second Age","1"
"Goblin Shrine","Chronicles","1"
"Goblin Striker","Mirrodin","1"
"Grizzled Wolverine","Ice Age","1"
"Hurloon Minotaur","Fourth Edition","4"
"Lightning Bolt","Fourth Edition","1"
"Molten Rain","Mirrodin","1"
"Mons's Goblin Raiders","Fourth Edition","1"
"Mountain","Fourth Edition","7"
"Mountain","Portal Second Age","2"
"Mountain","Revised Edition","5"
"Ogre Berserker","Portal Second Age","1"
"Screaming Fury","Fifth Dawn","2"
"Spikeshot Goblin","Mirrodin","2"
"Stone Rain","Revised Edition","4"
"Stonehands","Ice Age","1"
"Unforge","Darksteel","1"
"Varchild's Crusader","Alliances","1"
