Name,Edition,Quantity
"Aether Meltdown","Kaladesh","4"
"Approach of the Second Sun","Amonkhet","3"
"Cast Out","Amonkhet","4"
"Censor","Amonkhet","4"
"Farm // Market","Hour of Devastation","1"
"Field of Ruin","Ixalan","2"
"Fumigate","Kaladesh","3"
"Glimmer of Genius","Kaladesh","4"
"Glyph Keeper","Amonkhet","2"
"Ipnu Rivulet","Hour of Devastation","2"
"Irrigated Farmland","Amonkhet","4"
"Island","Amonkhet","10"
"Kefnet the Mindful","Amonkhet","2"
"Negate","Battlebond","4"
"Opt","Ixalan","4"
"Plains","Amonkhet","5"
"Plains","Commander 2016","3"
"Regal Caracal","Amonkhet","5"
"Renewed Faith","Amonkhet","3"
"Settle the Wreckage","Ixalan","1"
"Spell Pierce","Ixalan","2"
"Supreme Will","Hour of Devastation","4"
